Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,ID
1,Derrick Henry *,TEN,25,RB,15,15,303,1540,73,572,1.9,968,3.2,29,10.4,HenrDe00
2,Ezekiel Elliott*,DAL,24,RB,16,16,301,1357,78,678,2.3,679,2.3,24,12.5,ElliEz00
3,Nick Chubb*,CLE,24,RB,16,16,298,1494,62,612,2.1,882,3.0,32,9.3,ChubNi00
4,Christian McCaffrey*+,CAR,23,RB,16,16,287,1387,57,874,3.0,513,1.8,16,17.9,McCaCh01
5,Chris Carson,SEA,25,RB,15,15,278,1230,75,496,1.8,734,2.6,28,9.9,CarsCh00
6,Joe Mixon,CIN,23,RB,16,15,278,1137,56,492,1.8,645,2.3,24,11.6,MixoJo00
7,Leonard Fournette,JAX,24,RB,15,15,265,1152,55,360,1.4,792,3.0,16,16.6,FourLe00
8,Dalvin Cook*,MIN,24,RB,14,14,250,1135,60,539,2.2,596,2.4,20,12.5,CookDa01
9,Marlon Mack,IND,23,RB,14,12,247,1091,67,591,2.4,500,2.0,12,20.6,MackMa00
10,Sony Michel,NWE,24,RB,16,14,247,912,55,521,2.1,391,1.6,16,15.4,MichSo00
11,Le'Veon Bell,NYJ,27,RB,15,15,245,789,36,287,1.2,502,2.0,16,15.3,BellLe00
12,Carlos Hyde,HOU,29,RB,16,14,245,1070,55,525,2.1,545,2.2,22,11.1,HydeCa00
13,Josh Jacobs,OAK,21,RB,13,13,242,1150,53,467,1.9,683,2.8,26,9.3,JacoJo01
14,David Montgomery,CHI,22,rb,16,8,242,889,50,496,2.0,393,1.6,28,8.6,MontDa01
15,Aaron Jones,GNB,25,RB,16,16,236,1084,55,569,2.4,515,2.2,32,7.4,JoneAa00
16,Phillip Lindsay,DEN,25,RB,16,16,224,1011,38,603,2.7,408,1.8,29,7.7,LindPh00
17,Todd Gurley,LAR,25,RB,15,15,223,857,51,483,2.2,374,1.7,21,10.6,GurlTo01
18,Saquon Barkley,NYG,22,RB,13,13,217,1003,45,398,1.8,605,2.8,16,13.6,BarkSa00
19,Adrian Peterson,WAS,34,RB,15,15,211,898,41,374,1.8,524,2.5,7,30.1,PeteAd01
20,Mark Ingram*,BAL,30,RB,15,15,202,1018,53,494,2.4,524,2.6,18,11.2,IngrMa01
21,Devonta Freeman,ATL,27,RB,14,14,184,656,31,363,2.0,293,1.6,11,16.7,FreeDe00
22,Miles Sanders,PHI,22,RB,16,11,179,818,30,445,2.5,373,2.1,16,11.2,SandMi01
23,Lamar Jackson*+,BAL,22,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7,JackLa00
24,Ronald Jones II,TAM,22,RB,16,9,172,724,34,309,1.8,415,2.4,23,7.5,JoneRo01
25,Alvin Kamara*,NOR,24,RB,14,9,171,797,32,396,2.3,401,2.3,29,5.9,KamaAl00
26,Kenyan Drake,2TM,25,,14,10,170,817,48,479,2.8,338,2.0,12,14.2,DrakKe00
27,Frank Gore,BUF,36,rb,16,8,166,599,30,260,1.6,339,2.0,10,16.6,GoreFr00
28,Melvin Gordon,LAC,26,RB,12,11,162,612,39,312,1.9,300,1.9,8,20.3,GordMe00
29,Peyton Barber,TAM,25,rb,16,7,154,470,23,204,1.3,266,1.7,8,19.3,BarbPe01
30,Devin Singletary,BUF,22,RB,12,8,151,775,37,413,2.7,362,2.4,20,7.6,SingDe00
