Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,ID
349,Nick Keizer,KAN,25,te,16,3,0.56,0.38,66.7%,3.94,10.5,0.00,0.13,22,7.0,0.4,3.9,0.06,KeizNi00
350,Chris Manhertz,CAR,28,TE,16,12,0.50,0.38,75.0%,3.25,8.7,0.00,0.06,17,6.5,0.4,3.3,0.00,ManhCh00
351,Anthony McFarland Jr.,PIT,21,rb,11,0,0.82,0.55,66.7%,4.91,9.0,0.00,0.09,17,6.0,0.5,4.9,0.00,McFaAn00
352,Laquon Treadwell,ATL,25,wr,5,0,1.40,1.20,85.7%,9.80,8.2,0.40,0.80,14,7.0,1.2,9.8,0.00,TreaLa00
353,Javon Wims,CHI,26,wr,13,1,0.92,0.46,50.0%,3.69,8.0,0.08,0.31,13,4.0,0.5,3.7,0.00,WimsJa00
354,Alex Armah,CAR,26,fb,16,1,0.56,0.31,55.6%,1.13,3.6,0.00,0.06,14,2.0,0.3,1.1,0.00,ArmaAl00
355,Tavon Austin,GNB,30,wr,4,0,1.25,1.25,100.0%,5.00,4.0,0.00,0.25,7,4.0,1.3,5.0,0.25,AustTa00
356,Ja'Marcus Bradley,CLE,24,wr,3,1,3.67,1.67,45.5%,20.0,12.0,0.00,0.67,22,5.5,1.7,20.0,0.00,BradJa01
357,Cethan Carter,CIN,25,TE,15,5,0.47,0.33,71.4%,3.53,10.6,0.00,0.20,24,7.6,0.3,3.5,0.00,CartCe00
358,Corey Clement,PHI,26,rb,15,0,0.40,0.33,83.3%,1.67,5.0,0.00,0.13,12,4.2,0.3,1.7,0.00,ClemCo00
359,Pharoh Cooper,CAR,25,wr,16,1,0.50,0.31,62.5%,4.56,14.6,0.00,0.19,32,9.1,0.3,4.6,0.06,CoopPh00
360,Damien Harris,NWE,23,RB,10,10,0.70,0.50,71.4%,5.20,10.4,0.00,0.40,15,7.4,0.5,5.2,0.10,HarrDa06
361,Justice Hill,BAL,23,rb,12,0,0.42,0.42,100.0%,1.67,4.0,0.00,0.00,8,4.0,0.4,1.7,0.00,HillJu00
362,Steven Mitchell,HOU,26,wr,6,1,1.33,0.83,62.5%,10.0,12.0,0.00,0.50,20,7.5,0.8,10.0,0.00,MitcSt02
363,Gabe Nabers,LAC,23,fb,16,5,0.44,0.31,71.4%,1.56,5.0,0.13,0.13,9,3.6,0.3,1.6,0.00,NabeGa00
364,Gunner Olszewski+,NWE,24,wr,13,2,0.38,0.38,100.0%,4.77,12.4,0.08,0.23,38,12.4,0.4,4.8,0.08,OlszGu00
365,C.J. Prosise,HOU,26,rb,10,0,0.50,0.50,100.0%,1.80,3.6,0.10,0.10,10,3.6,0.5,1.8,0.10,ProsC.00
366,MyCole Pruitt,TEN,28,te,11,4,0.73,0.45,62.5%,4.45,9.8,0.18,0.36,22,6.1,0.5,4.5,0.00,PruiMy00
367,Theo Riddick,LVR,29,rb,4,0,1.50,1.25,83.3%,10.8,8.6,0.00,0.25,15,7.2,1.3,10.8,0.00,RiddTh00
368,Darrius Shepherd,GNB,25,wr,8,0,1.00,0.63,62.5%,5.75,9.2,0.00,0.13,19,5.8,0.6,5.8,0.13,ShepDa00
369,Trent Sherfield,ARI,24,wr,15,1,0.47,0.33,71.4%,3.33,10.0,0.00,0.13,26,7.1,0.3,3.3,0.00,SherTr00
370,Malik Taylor,GNB,25,wr,15,1,0.40,0.33,83.3%,4.40,13.2,0.07,0.27,26,11.0,0.3,4.4,0.00,TaylMa01
371,Levine Toilolo,NYG,29,te,16,2,0.38,0.31,83.3%,2.88,9.2,0.00,0.19,14,7.7,0.3,2.9,0.00,ToilLe00
372,Ke'Shawn Vaughn,TAM,23,rb,10,0,1.00,0.50,50.0%,3.40,6.8,0.10,0.20,13,3.4,0.5,3.4,0.10,VaugKe00
373,DeAndre Washington,2TM,27,,4,1,2.50,1.25,50.0%,7.50,6.0,0.00,0.50,10,3.0,1.3,7.5,0.00,WashDe00
